TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,9,8,10,SW MARINE DR / CAMBIE ST,Marpole,491466,5450813,49.21004931,-123.1171698
Break and Enter Commercial,2003,2,13,20,0,10XX HOMER ST,Central Business District,491196.87,5458219.05,49.27666452,-123.1210276
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,15,13,11,STANLEY PARK DR / NORTH CREEK TR,Stanley Park,490878,5460593,49.29801387,-123.1254657
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,4,14,38,STANLEY PARK CSWY / STANLEY PARK DR,Stanley Park,489637,5462043,49.31103699,-123.1425722
Mischief,2003,5,31,0,50,13XX SW MARINE DR,Marpole,490135.31,5450044.63,49.20311764,-123.135421
Break and Enter Commercial,2003,2,4,1,0,10XX HOMER ST,Central Business District,491198.81,5458234.07,49.27679965,-123.1210013
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,1,16,5,ST GEORGE ST / E 43RD AVE,Sunset,493110,5453145,49.23104695,-123.0946382
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,7,12,20,ST GEORGE ST / E 19TH AVE,Riley Park,493168,5455671,49.25376953,-123.0938846
Break and Enter Residential/Other,2003,4,24,23,0,18XX PENDRELL ST,West End,489742.38,5459504.57,49.28820528,-123.1410572
Break and Enter Residential/Other,2003,11,3,8,30,18XX PENDRELL ST,West End,489742.38,5459504.57,49.28820528,-123.1410572
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,16,15,36,SMITHE ST / CAMBIE ST,Central Business District,491519,5458274,49.27716336,-123.1166001
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,21,20,0,SMITHE ST / CAMBIE ST,Central Business District,491519,5458274,49.27716336,-123.1166001
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,27,4,15,SMITHE ST / BURRARD ST,West End,490950,5458837,49.28221947,-123.1244356
Break and Enter Commercial,2003,2,16,0,0,10XX HOMER ST,Central Business District,491207.45,5458229.82,49.27676155,-123.1208824
Break and Enter Commercial,2003,7,29,21,0,10XX HOMER ST,Central Business District,491207.45,5458229.82,49.27676155,-123.1208824
Break and Enter Commercial,2003,10,18,19,0,10XX HOMER ST,Central Business District,491207.45,5458229.82,49.27676155,-123.1208824
Break and Enter Commercial,2003,10,26,8,0,10XX HOMER ST,Central Business District,491207.45,5458229.82,49.27676155,-123.1208824
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,16,1,34,SLOCAN ST / E BROADWAY AVE,Renfrew-Collingwood,496392,5456583,49.26200067,-123.049589
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,23,18,20,SLOCAN ST / E 22ND AVE,Renfrew-Collingwood,496389,5455324,49.25067568,-123.0496189
Offence Against a Person,2003,9,13,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,22,1,25,SLOCAN ST / E 22ND AVE,Renfrew-Collingwood,496389,5455324,49.25067568,-123.0496189
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,26,10,30,SLOCAN ST / E 22ND AVE,Renfrew-Collingwood,496389,5455324,49.25067568,-123.0496189
Offence Against a Person,2003,4,5,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,11,12,20,SKEENA ST / GRANDVIEW HWY,Renfrew-Collingwood,497923,5456152,49.25813085,-123.0285444
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,17,15,55,SKEENA ST / E 28TH AVE,Renfrew-Collingwood,497922,5454731,49.24534864,-123.0285508
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,28,1,0,SEYMOUR ST / ROBSON ST,Central Business District,491359,5458669,49.2807142,-123.1188083
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,19,4,40,SEYMOUR ST / DAVIE ST,Central Business District,490894,5458201,49.27649772,-123.1251911
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,6,13,49,SENLAC ST / KINGSWAY AVE,Renfrew-Collingwood,497580,5453333,49.23277204,-123.0332413
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,5,9,22,SE MARINE OFRP DR / KNIGHT ST,Sunset,494383,5451050,49.21221488,-123.0771235
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,10,17,22,SE MARINE OFRP DR / KNIGHT ST,Sunset,494383,5451050,49.21221488,-123.0771235
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,27,16,18,SE MARINE DR / VICTORIA DR,Victoria-Fraserview,495184,5450763,49.20964005,-123.066122
Break and Enter Residential/Other,2003,2,13,19,0,18XX ROBSON ST,West End,490069.96,5459951.91,49.29223458,-123.1365636
Break and Enter Residential/Other,2003,10,9,17,30,18XX ROBSON ST,West End,490069.96,5459951.91,49.29223458,-123.1365636
Break and Enter Residential/Other,2003,11,6,8,15,18XX ROBSON ST,West End,490069.96,5459951.91,49.29223458,-123.1365636
Break and Enter Residential/Other,2003,11,29,10,15,18XX ROBSON ST,West End,490069.96,5459951.91,49.29223458,-123.1365636
Mischief,2003,4,6,18,0,43XX BLENHEIM ST,Dunbar-Southlands,487006.19,5455009.61,49.24772037,-123.1785377
Mischief,2003,2,7,1,0,43XX BLENHEIM ST,Dunbar-Southlands,487006.89,5454958.36,49.24725939,-123.1785264
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,20,1,49,SE MARINE DR / ST GEORGE ST,Sunset,493130,5450926,49.21108669,-123.0943255
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,26,16,30,SE MARINE DR / MARINE WAY,Killarney,497166,5450560,49.20782638,-123.0389084
Break and Enter Commercial,2003,4,28,20,0,10XX HOMER ST,Central Business District,491253.96,5458277.22,49.27718859,-123.120244
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,9,16,29,SE MARINE DR / FRASER ST,Sunset,493362,5450913,49.21097231,-123.0911399
Break and Enter Residential/Other,2003,7,7,12,0,18XX ROBSON ST,West End,490078.02,5459931.15,49.29204797,-123.1364523
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,2,9,41,SE MARINE DR / FRASER ST,Sunset,493362,5450913,49.21097231,-123.0911399
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,25,16,55,SE MARINE DR / CROMPTON ST,Sunset,494122,5450920,49.21104304,-123.0807052
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,9,23,30,SE MARINE DR / ARGYLE ST,Victoria-Fraserview,494750,5450912,49.21097678,-123.0720826
Break and Enter Residential/Other,2003,7,16,19,0,18XX ROBSON ST,West End,490100.97,5459921.38,49.29196046,-123.1361364
Mischief,2003,5,21,7,0,43XX COMMERCIAL ST,Kensington-Cedar Cottage,495056.92,5454793.99,49.24589881,-123.0679165
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,25,15,50,SCOTIA ST / E 4TH AVE,Mount Pleasant,492813,5457174,49.26728524,-123.0987899
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,10,20,0,RUPERT ST / VANNESS AVE,Renfrew-Collingwood,497251,5454214,49.24069546,-123.0377665
Offence Against a Person,2003,11,10,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,30,10,45,RUPERT ST / VANNESS AVE,Renfrew-Collingwood,497251,5454214,49.24069546,-123.0377665
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,13,20,0,RUPERT ST / GRANDVIEW HWY,Renfrew-Collingwood,497535,5456151,49.25812042,-123.0338767
Break and Enter Residential/Other,2003,1,24,9,30,18XX ROBSON ST,West End,490115.45,5459907.13,49.29183252,-123.1359369
Break and Enter Residential/Other,2003,1,25,8,0,18XX ROBSON ST,West End,490115.45,5459907.13,49.29183252,-123.1359369
Break and Enter Residential/Other,2003,3,5,8,45,18XX ROBSON ST,West End,490115.45,5459907.13,49.29183252,-123.1359369
Mischief,2003,4,21,20,0,43XX DUMFRIES ST,Kensington-Cedar Cottage,494660.45,5454868.68,49.24656734,-123.0733648
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,7,17,0,RUPERT ST / GRANDVIEW HWY,Renfrew-Collingwood,497535,5456151,49.25812042,-123.0338767
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,12,14,24,RUPERT ST / E 7TH AVE,Hastings-Sunrise,497538,5456784,49.26381439,-123.0338394
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,2,8,52,RUPERT ST / E 20TH AVE,Renfrew-Collingwood,497535,5455504,49.25230051,-123.0338727
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,23,1,30,ROBSON ST / SEYMOUR ST,Central Business District,491359,5458669,49.2807142,-123.1188083
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,20,12,30,ROBSON ST / RICHARDS ST,Central Business District,491427,5458601,49.28010349,-123.1178719
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,17,0,38,ROBSON ST / RICHARDS ST,Central Business District,491427,5458601,49.28010349,-123.1178719
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,23,21,59,ROBSON ST / HORNBY ST,Central Business District,491144,5458883,49.28263609,-123.1217692
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,19,19,5,ROBSON ST / CARDERO ST,West End,490380,5459638,49.28941588,-123.1322923
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,25,13,46,RICHARDS ST / W PENDER ST,Central Business District,491791,5458968,49.28340971,-123.1128748
Break and Enter Residential/Other,2003,2,1,14,15,66XX CHEAM PL,Killarney,498128.72,5452235.72,49.22290364,-123.0256989
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,9,19,18,RICHARDS ST / W PENDER ST,Central Business District,491791,5458968,49.28340971,-123.1128748
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,15,21,0,RICHARDS ST / W CORDOVA ST,Central Business District,491933,5459112,49.2847069,-123.1109251
Break and Enter Commercial,2003,4,28,20,0,10XX HOMER ST,Central Business District,491262.41,5458285.84,49.27726625,-123.120128
Mischief,2003,2,18,7,15,43XX ELGIN ST,Kensington-Cedar Cottage,493975.09,5454824.57,49.24616419,-123.0827809
Break and Enter Residential/Other,2003,4,13,12,0,18XX SE MARINE DR,Victoria-Fraserview,494935.43,5450900.71,49.21087679,-123.0695365
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,6,20,5,RENFREW ST / E GEORGIA ST,Hastings-Sunrise,496792,5458392,49.2782752,-123.0441058
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,7,11,33,RENFREW ST / E BROADWAY AVE,Renfrew-Collingwood,496775,5456576,49.26193984,-123.0443249
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,3,8,54,RENFREW ST / E 22ND AVE,Renfrew-Collingwood,496779,5455317,49.25061489,-123.0442598
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,10,18,32,RENFREW ST / CHARLES ST,Hastings-Sunrise,496787,5457834,49.27325586,-123.0441701
Break and Enter Residential/Other,2003,2,9,12,0,18XX SKEENA ST,Hastings-Sunrise,497933.97,5457210.72,49.26765429,-123.0283991
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,14,15,32,QUEBEC ST / NATIONAL AVE,Central Business District,492583,5458026,49.27494639,-123.1019672
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,9,13,20,PRIOR ST / HEATLEY AVE,Strathcona,493472,5458207,49.27658466,-123.0897484
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,30,9,10,PRINCESS AVE / E HASTINGS ST,Strathcona,493347,5458719,49.28118883,-123.0914755
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,22,8,0,PRINCE EDWARD ST / E 41ST AVE,Sunset,492923,5453361,49.23298779,-123.0972105
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,31,11,50,PRINCE EDWARD ST / E 41ST AVE,Sunset,492923,5453361,49.23298779,-123.0972105
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,24,22,45,POWELL ST / WALL ST,Grandview-Woodland,495365,5459123,49.28484152,-123.0637337
Mischief,2003,7,18,4,1,43XX FRASER ST,Kensington-Cedar Cottage,493439.66,5454830.09,49.24620834,-123.0901377
Offence Against a Person,2003,11,16,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,17,1,29,POWELL ST / COMMERCIAL DR,Grandview-Woodland,494883,5459014,49.2838572,-123.07036
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,15,21,43,POINT GREY RD / MACDONALD ST,Kitsilano,487766,5457646,49.27145082,-123.1681784
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,23,13,15,PINE ST / W 12TH AVE,Fairview,489560,5456467,49.26087877,-123.1434859
Mischief,2003,9,29,16,30,13XX W 11TH AVE,Fairview,490234.54,5456553.78,49.26167052,-123.1342173
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,2,17,22,PACIFIC ST / BUTE ST,West End,490066,5458553,49.27965112,-123.1365833
Mischief,2003,3,7,19,0,43XX FRASER ST,Riley Park,493430.79,5454854.36,49.24642656,-123.09026
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,2,11,0,PACIFIC ST / BURRARD ST,West End,490367,5458254,49.27696639,-123.1324377
Break and Enter Residential/Other,2003,10,12,10,0,18XX SPYGLASS PL,Fairview,491610.06,5457430.67,49.26957872,-123.1153305
Break and Enter Residential/Other,2003,11,22,20,0,18XX SPYGLASS PL,Fairview,491610.06,5457430.67,49.26957872,-123.1153305
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,26,11,20,PACIFIC BLVD / GRIFFITHS WAY,Central Business District,492074,5458234,49.276811,-123.1089689
Break and Enter Commercial,2003,10,1,18,0,10XX HORNBY ST,Central Business District,490838.49,5458570.38,49.27981952,-123.1259627
Break and Enter Commercial,2003,10,16,18,0,10XX HORNBY ST,Central Business District,490838.49,5458570.38,49.27981952,-123.1259627
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,12,18,40,PACIFIC BLVD / DAVIE ST,Central Business District,491174,5457920,49.27397418,-123.1213354
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,15,20,19,OSLER ST / W 67TH AVE,Marpole,490418,5450894,49.21076244,-123.1315605
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,29,18,40,ONTARIO ST / E BROADWAY AVE,Mount Pleasant,492368,5456699,49.26300714,-123.1048977
Mischief,2003,10,12,21,40,43XX JAMES ST,Riley Park,492440.93,5454862.24,49.24648602,-123.1038606
Break and Enter Commercial,2003,8,16,22,40,10XX HORNBY ST,Central Business District,490849.24,5458581.37,49.27991854,-123.1258152
Break and Enter Commercial,2003,10,29,10,45,10XX HORNBY ST,Central Business District,490900.73,5458647.13,49.28051083,-123.1251087
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,2,18,47,ONTARIO ST / E 2ND AVE,Mount Pleasant,492386,5457392,49.26924103,-123.1046634
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,14,18,36,ONTARIO ST / E 16TH AVE,Riley Park,492347,5455991,49.25663828,-123.1051728
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,5,9,20,ONTARIO ST / E 16TH AVE,Riley Park,492347,5455991,49.25663828,-123.1051728
Mischief,2003,12,9,13,30,43XX KNIGHT ST,Kensington-Cedar Cottage,494444.82,5454765.03,49.24563306,-123.0763261
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,3,18,30,ONTARIO ST / E 16TH AVE,Riley Park,492347,5455991,49.25663828,-123.1051728
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,14,22,47,OAK ST / W 70TH AVE,Marpole,490512,5450639,49.20847011,-123.1302639
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,31,19,8,OAK ST / W 67TH AVE,Marpole,490517,5450891,49.21073699,-123.1302012
Break and Enter Commercial,2003,2,23,9,50,10XX HOWE ST,Central Business District,490880.28,5458486.41,49.27906482,-123.1253863
Break and Enter Commercial,2003,4,3,6,0,10XX HOWE ST,Central Business District,490880.28,5458486.41,49.27906482,-123.1253863
Break and Enter Commercial,2003,12,30,6,36,10XX HOWE ST,Central Business District,490880.28,5458486.41,49.27906482,-123.1253863
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,4,12,21,OAK ST / W 67TH AVE,Marpole,490517,5450891,49.21073699,-123.1302012
Mischief,2003,9,2,15,0,13XX W 12TH AVE,Fairview,490247.71,5456452.84,49.26076275,-123.1340338
Mischief,2003,8,22,21,0,43XX MAIN ST,Riley Park,492627.17,5454819.58,49.24610455,-123.1013009
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,20,17,30,OAK ST / W 59TH AVE,Marpole,490587,5451600,49.21711571,-123.1292567
Break and Enter Residential/Other,2003,4,17,15,0,18XX SPYGLASS PL,Fairview,491610.55,5457446.31,49.26971941,-123.115324
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,14,20,51,OAK ST / W 54TH AVE,Oakridge,490642,5452091,49.22153322,-123.1285129
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,10,14,45,OAK ST / W 50TH AVE,Oakridge,490654,5452552,49.22568021,-123.1283589
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,16,20,50,OAK ST / W 49TH AVE,Oakridge,490658,5452647,49.22653482,-123.1283061
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,1,12,45,OAK ST / W 49TH AVE,Oakridge,490658,5452647,49.22653482,-123.1283061
Break and Enter Residential/Other,2003,7,25,19,49,18XX SPYGLASS PL,Fairview,491622.51,5457536.75,49.2705331,-123.1151615
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,27,17,52,OAK ST / W 46TH AVE,Oakridge,490663,5452955,49.22930543,-123.1282446
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,5,6,35,OAK ST / W 33RD AVE,Shaughnessy,490695,5454303,49.24143148,-123.1278364
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,26,19,47,OAK ST / W 33RD AVE,Shaughnessy,490695,5454303,49.24143148,-123.1278364
Mischief,2003,5,31,17,0,43XX MAIN ST,Riley Park,492630.66,5454886.38,49.24670548,-123.1012542
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,25,19,0,OAK ST / W 20TH AVE,Shaughnessy,490731,5455647,49.25352158,-123.1273729
Vehicle Collision or Pedestrian Struck (with Injury),2003,2,3,5,6,OAK ST / W 16TH AVE,Shaughnessy,490743,5456046,49.25711085,-123.1272172
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,3,19,32,OAK ST / PARK DR,Marpole,490530,5451304,49.21445223,-123.1300324
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,30,22,8,OAK ST / PARK DR,Marpole,490530,5451304,49.21445223,-123.1300324
Break and Enter Residential/Other,2003,1,11,3,30,66XX ELLIOTT ST,Victoria-Fraserview,496007.25,5452315.89,49.22361464,-123.0548345
Mischief,2003,6,29,10,20,43XX MAIN ST,Riley Park,492634.83,5454784.23,49.24578666,-123.101195
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,1,17,30,NW MARINE DR / SASAMAT ST,West Point Grey,484816,5457984,49.27442503,-123.208744
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,30,17,10,NOOTKA ST / E 22ND AVE,Renfrew-Collingwood,496972,5455317,49.25061588,-123.0416078
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,22,0,22,NICOLA ST / W GEORGIA ST,West End,490590,5459678,49.28977895,-123.1294053
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,1,0,19,NELSON ST / THURLOW ST,West End,490687,5458867,49.28248538,-123.1280525
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,19,19,33,NELSON ST / HOMER ST,Central Business District,491264,5458294,49.27733967,-123.1201063
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,27,9,10,NELSON ST / EXPO BLVD,Central Business District,491563,5458020,49.27487919,-123.1159898
Offence Against a Person,2003,11,8,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,9,17,24,NAPIER ST / COMMERCIAL DR,Grandview-Woodland,494941,5458014,49.27486251,-123.0695498
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,7,22,20,NANAIMO ST / S GRANDVIEW HWY,Kensington-Cedar Cottage,495878,5456116,49.25779666,-123.0566487
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,6,8,10,NANAIMO ST / KINGSWAY AVE,Renfrew-Collingwood,495769,5454345,49.24186538,-123.0581279
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,4,15,30,NANAIMO ST / KINGSWAY AVE,Renfrew-Collingwood,495769,5454345,49.24186538,-123.0581279
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,9,15,22,NANAIMO ST / KINGSWAY AVE,Renfrew-Collingwood,495769,5454345,49.24186538,-123.0581279
Vehicle Collision or Pedestrian Struck (with Injury),2003,8,1,22,0,NANAIMO ST / HOYLAKE AVE,Victoria-Fraserview,495678,5451451,49.21583248,-123.059347
Offence Against a Person,2003,4,23,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,5,14,28,NANAIMO ST / E BROADWAY AVE,Kensington-Cedar Cottage,495882,5456597,49.26212338,-123.0565986
Vehicle Collision or Pedestrian Struck (with Injury),2003,4,13,21,11,NANAIMO ST / E BROADWAY AVE,Kensington-Cedar Cottage,495882,5456597,49.26212338,-123.0565986
Vehicle Collision or Pedestrian Struck (with Injury),2003,3,27,19,30,NANAIMO ST / E BROADWAY AVE,Kensington-Cedar Cottage,495882,5456597,49.26212338,-123.0565986
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,5,23,27,NANAIMO ST / E 41ST AVE,Victoria-Fraserview,495714,5453340,49.23282478,-123.0588728
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,1,18,14,NANAIMO ST / E 28TH AVE,Kensington-Cedar Cottage,495876,5454781,49.24578803,-123.0566624
Offence Against a Person,2003,5,9,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,21,18,0,NANAIMO ST / DUNDAS ST,Grandview-Woodland,495889,5459115,49.2847733,-123.0565283
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,12,13,45,NANAIMO ST / DUNDAS ST,Grandview-Woodland,495889,5459115,49.2847733,-123.0565283
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,8,8,30,N NANAIMO ST / CAMBRIDGE ST,Grandview-Woodland,495889,5459318,49.28659932,-123.0565304
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,14,13,3,MOBERLY RD / W 6TH AVE,Fairview,491229,5457018,49.26586133,-123.1205596
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,4,13,26,MCLEAN DR / E HASTINGS ST,Grandview-Woodland,494609,5458731,49.28130921,-123.0741238
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,26,13,48,MCGILL ST / N SLOCAN ST,Hastings-Sunrise,496413,5459552,49.28870749,-123.049327
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,24,19,0,MCGILL ST / N KAMLOOPS ST,Hastings-Sunrise,496033,5459555,49.28873213,-123.0545526
Break and Enter Commercial,2003,5,16,3,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493919.41,5455675.98,49.25382226,-123.0835589
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,24,3,10,MATHESON CRES / MARCHWOOD PL,Killarney,498171,5451123,49.21289455,-123.0251132
Offence Against a Person,2003,9,21,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2003,1,28,18,30,18XX VENABLES ST,Grandview-Woodland,495047.84,5458216.86,49.27668814,-123.0680836
Break and Enter Commercial,2003,8,16,8,40,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493931.27,5455667.66,49.25374754,-123.0833958
Break and Enter Commercial,2003,7,25,0,23,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493933.13,5455655.18,49.2536353,-123.08337
Break and Enter Residential/Other,2003,2,3,17,30,18XX VENABLES ST,Grandview-Woodland,495047.84,5458216.86,49.27668814,-123.0680836
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,20,14,50,MARINE CRES / SW MARINE DR,Kerrisdale,488059,5452394,49.22421386,-123.163994
Break and Enter Residential/Other,2003,2,10,17,10,18XX VENABLES ST,Grandview-Woodland,495083.9,5458217.32,49.27669257,-123.0675878
Break and Enter Residential/Other,2003,4,19,12,0,18XX VENABLES ST,Grandview-Woodland,495083.9,5458217.32,49.27669257,-123.0675878
Vehicle Collision or Pedestrian Struck (with Injury),2003,10,26,1,30,MANITOBA ST / W 26TH AVE,Riley Park,492176,5455008,49.24779383,-123.1075036
Break and Enter Commercial,2003,9,27,2,41,10XX MAIN ST,Strathcona,492743.24,5458089.61,49.2755205,-123.0997654
Vehicle Collision or Pedestrian Struck (with Injury),2003,6,22,2,38,MAIN ST / UNION ST,Central Business District,492733,5458331,49.27769172,-123.0999106
Mischief,2003,4,5,22,0,13XX W 4TH AVE,Fairview,490161.48,5457123.07,49.26679021,-123.1352354
Mischief,2003,2,15,17,37,43XX OAK ST,South Cambie,490715.43,5454894.92,49.24675623,-123.1275695
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,23,22,50,MAIN ST / UNION ST,Central Business District,492733,5458331,49.27769172,-123.0999106
Offence Against a Person,2003,7,29,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,20,17,17,MAIN ST / TERMINAL AVE,Strathcona,492730,5457781,49.27274434,-123.0999418
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,1,17,50,MAIN ST / PRIOR ST,Central Business District,492731,5458227,49.2767562,-123.0999362
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,11,12,20,MAIN ST / PRIOR ST,Central Business District,492731,5458227,49.2767562,-123.0999362
Break and Enter Residential/Other,2003,2,21,18,0,18XX VENABLES ST,Grandview-Woodland,495132.46,5458217.12,49.27669116,-123.0669202
Mischief,2003,1,18,19,30,43XX ONTARIO ST,Riley Park,492357.08,5454951.38,49.24728681,-123.1050144
Vehicle Collision or Pedestrian Struck (with Injury),2003,5,19,4,45,MAIN ST / PRIOR ST,Central Business District,492731,5458227,49.2767562,-123.0999362
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,30,22,17,MAIN ST / POWELL ST,Central Business District,492759,5458942,49.28318807,-123.0995642
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,6,13,37,MAIN ST / E WOODSTOCK AVE,Riley Park,492607,5453428,49.23358673,-123.1015524
Vehicle Collision or Pedestrian Struck (with Injury),2003,12,17,7,10,MAIN ST / E HASTINGS ST,Central Business District,492749,5458737,49.28134395,-123.099698
Break and Enter Residential/Other,2003,3,12,9,0,18XX VENABLES ST,Grandview-Woodland,495165.89,5458207.8,49.27660759,-123.0664605
Vehicle Collision or Pedestrian Struck (with Injury),2003,9,29,9,57,MAIN ST / E HASTINGS ST,Central Business District,492749,5458737,49.28134395,-123.099698
Vehicle Collision or Pedestrian Struck (with Injury),2003,1,30,12,0,MAIN ST / E HASTINGS ST,Central Business District,492749,5458737,49.28134395,-123.099698
Mischief,2003,4,17,17,30,43XX PERRY ST,Kensington-Cedar Cottage,494812.24,5454871.25,49.24659176,-123.0712793
Mischief,2003,4,17,18,30,43XX PERRY ST,Kensington-Cedar Cottage,494812.24,5454871.25,49.24659176,-123.0712793
